Date,prices
15-09-2010,0.963
16-09-2010,0.961
17-09-2010,0.968
20-09-2010,0.975
21-09-2010,0.979
22-09-2010,0.985
23-09-2010,0.980
24-09-2010,0.982
27-09-2010,0.989
28-09-2010,0.997
29-09-2010,1.000
30-09-2010,0.995
01-10-2010,0.991
04-10-2010,0.990
05-10-2010,0.987
06-10-2010,0.989
07-10-2010,0.999
08-10-2010,0.996
11-10-2010,0.997
12-10-2010,0.996
13-10-2010,0.994
14-10-2010,0.999
15-10-2010,1.001
18-10-2010,1.006
19-10-2010,1.001
20-10-2010,1.008
21-10-2010,1.004
22-10-2010,1.008
25-10-2010,1.010
26-10-2010,1.009
27-10-2010,0.999
28-10-2010,1.000
29-10-2010,1.002
01-11-2010,1.003
02-11-2010,1.009
03-11-2010,1.011
04-11-2010,1.017
05-11-2010,1.017
08-11-2010,1.017
09-11-2010,1.011
10-11-2010,1.006
11-11-2010,1.000
12-11-2010,0.996
15-11-2010,0.994
16-11-2010,0.998
17-11-2010,1.003
18-11-2010,1.010
19-11-2010,1.004
22-11-2010,1.007
23-11-2010,0.996
24-11-2010,0.993
25-11-2010,0.990
26-11-2010,0.984
29-11-2010,0.981
30-11-2010,0.983
01-12-2010,0.986
02-12-2010,0.979
03-12-2010,0.997
06-12-2010,0.995
07-12-2010,0.996
08-12-2010,0.990
09-12-2010,0.995
10-12-2010,0.995
13-12-2010,1.003
14-12-2010,1.006
15-12-2010,0.990
16-12-2010,0.996
17-12-2010,1.001
20-12-2010,1.010
21-12-2010,1.014
22-12-2010,1.013
23-12-2010,1.014
24-12-2010,1.013
27-12-2010,1.011
28-12-2010,1.011
29-12-2010,1.018
30-12-2010,1.017
31-12-2010,1.021
03-01-2011,1.010
04-01-2011,1.004
05-01-2011,0.996
06-01-2011,0.992
07-01-2011,0.990
10-01-2011,0.989
11-01-2011,0.978
12-01-2011,0.982
13-01-2011,0.987
14-01-2011,0.979
17-01-2011,0.981
18-01-2011,0.990
19-01-2011,0.996
20-01-2011,0.985
21-01-2011,0.984
24-01-2011,0.991
25-01-2011,0.994
26-01-2011,0.993
27-01-2011,0.986
28-01-2011,0.994
31-01-2011,0.998
01-02-2011,1.003
02-02-2011,0.996
03-02-2011,1.007
04-02-2011,1.001
07-02-2011,1.004
08-02-2011,1.010
09-02-2011,1.006
10-02-2011,1.000
